X,y,std_dev
0,9.2,0.7483314773547883
50,9.2,0.7483314773547883
100,9.2,0.7483314773547883
150,9.2,0.7483314773547883
200,9.2,0.7483314773547883
250,9.2,0.7483314773547883
300,9.2,0.7483314773547883
350,9.2,0.7483314773547883
400,9.2,0.7483314773547883
450,9.2,0.7483314773547883
500,9.2,0.7483314773547883
550,9.2,0.7483314773547883
600,9.2,0.7483314773547883
650,9.2,0.7483314773547883
700,9.2,0.7483314773547883
750,9.2,0.7483314773547883
800,9.2,0.7483314773547883
850,9.2,0.7483314773547883
900,9.2,0.7483314773547883
950,9.2,0.7483314773547883
1000,9.2,0.7483314773547883
1050,9.2,0.7483314773547883
1100,9.2,0.7483314773547883
1150,9.2,0.7483314773547883
1200,9.2,0.7483314773547883
1250,9.2,0.7483314773547883
1300,9.2,0.7483314773547883
1350,9.2,0.7483314773547883
1400,9.2,0.7483314773547883
1450,9.2,0.7483314773547883
1500,9.2,0.7483314773547883
1550,9.2,0.7483314773547883
1600,9.2,0.7483314773547883
1650,9.2,0.7483314773547883
1700,9.2,0.7483314773547883
1750,9.2,0.7483314773547883
1800,9.2,0.7483314773547883
1850,9.2,0.7483314773547883
1900,9.2,0.7483314773547883
1950,9.2,0.7483314773547883
2000,9.2,0.7483314773547883
2050,9.2,0.7483314773547883
2100,9.2,0.7483314773547883
2150,9.2,0.7483314773547883
2200,9.2,0.7483314773547883
2250,9.2,0.7483314773547883
2300,9.2,0.7483314773547883
2350,9.2,0.7483314773547883
2400,9.2,0.7483314773547883
2450,9.2,0.7483314773547883
2500,9.2,0.7483314773547883
2550,9.2,0.7483314773547883
2600,9.2,0.7483314773547883
2650,9.2,0.7483314773547883
2700,9.2,0.7483314773547883
2750,9.2,0.7483314773547883
2800,9.2,0.7483314773547883
2850,9.2,0.7483314773547883
2900,9.2,0.7483314773547883
2950,9.2,0.7483314773547883
3000,9.2,0.7483314773547883
3050,9.2,0.7483314773547883
3100,9.2,0.7483314773547883
3150,9.2,0.7483314773547883
3200,9.2,0.7483314773547883
3250,9.2,0.7483314773547883
3300,9.2,0.7483314773547883
3350,9.2,0.7483314773547883
3400,9.2,0.7483314773547883
3450,9.2,0.7483314773547883
3500,9.2,0.7483314773547883
3550,9.2,0.7483314773547883
3600,9.2,0.7483314773547883
3650,9.2,0.7483314773547883
3700,9.2,0.7483314773547883
3750,9.2,0.7483314773547883
3800,9.2,0.7483314773547883
3850,9.2,0.7483314773547883
3900,9.2,0.7483314773547883
3950,9.2,0.7483314773547883
4000,9.2,0.7483314773547883
4050,9.2,0.7483314773547883
4100,9.2,0.7483314773547883
4150,9.2,0.7483314773547883
4200,9.2,0.7483314773547883
4250,9.2,0.7483314773547883
4300,9.2,0.7483314773547883
4350,9.2,0.7483314773547883
4400,9.2,0.7483314773547883
4450,9.2,0.7483314773547883
4500,9.2,0.7483314773547883
4550,9.2,0.7483314773547883
4600,9.2,0.7483314773547883
4650,9.2,0.7483314773547883
4700,9.2,0.7483314773547883
4750,9.2,0.7483314773547883
4800,9.2,0.7483314773547883
4850,9.2,0.7483314773547883
4900,9.2,0.7483314773547883
4950,9.2,0.7483314773547883
5000,9.2,0.7483314773547883
5050,9.2,0.7483314773547883
5100,9.2,0.7483314773547883
5150,9.2,0.7483314773547883
5200,9.2,0.7483314773547883
5250,9.2,0.7483314773547883
5300,9.2,0.7483314773547883
5350,9.2,0.7483314773547883
5400,9.2,0.7483314773547883
5450,9.2,0.7483314773547883
5500,9.2,0.7483314773547883
5550,9.2,0.7483314773547883
5600,9.2,0.7483314773547883
5650,9.2,0.7483314773547883
5700,9.2,0.7483314773547883
5750,9.2,0.7483314773547883
5800,9.2,0.7483314773547883
5850,9.2,0.7483314773547883
5900,9.2,0.7483314773547883
5950,9.2,0.7483314773547883
6000,9.2,0.7483314773547883
6050,9.2,0.7483314773547883
6100,9.2,0.7483314773547883
6150,9.2,0.7483314773547883
6200,9.2,0.7483314773547883
6250,9.2,0.7483314773547883
6300,9.2,0.7483314773547883
6350,9.2,0.7483314773547883
6400,9.2,0.7483314773547883
6450,9.2,0.7483314773547883
6500,9.2,0.7483314773547883
6550,9.2,0.7483314773547883
6600,9.2,0.7483314773547883
6650,9.2,0.7483314773547883
6700,9.2,0.7483314773547883
6750,9.2,0.7483314773547883
6800,9.2,0.7483314773547883
6850,9.2,0.7483314773547883
6900,9.2,0.7483314773547883
6950,9.2,0.7483314773547883
7000,9.2,0.7483314773547883
7050,9.2,0.7483314773547883
7100,9.2,0.7483314773547883
7150,9.2,0.7483314773547883
7200,9.2,0.7483314773547883
7250,9.2,0.7483314773547883
7300,9.2,0.7483314773547883
7350,9.2,0.7483314773547883
7400,9.2,0.7483314773547883
7450,9.2,0.7483314773547883
7500,9.2,0.7483314773547883
7550,9.2,0.7483314773547883
7600,9.2,0.7483314773547883
7650,9.2,0.7483314773547883
7700,9.2,0.7483314773547883
7750,9.2,0.7483314773547883
7800,9.2,0.7483314773547883
7850,9.2,0.7483314773547883
7900,9.2,0.7483314773547883
7950,9.2,0.7483314773547883
8000,9.2,0.7483314773547883
8050,9.2,0.7483314773547883
8100,9.2,0.7483314773547883
8150,9.2,0.7483314773547883
8200,9.2,0.7483314773547883
8250,9.2,0.7483314773547883
8300,9.2,0.7483314773547883
8350,9.2,0.7483314773547883
8400,9.2,0.7483314773547883
8450,9.2,0.7483314773547883
8500,9.2,0.7483314773547883
8550,9.2,0.7483314773547883
8600,9.2,0.7483314773547883
8650,9.2,0.7483314773547883
8700,9.2,0.7483314773547883
8750,9.2,0.7483314773547883
8800,9.2,0.7483314773547883
8850,9.2,0.7483314773547883
8900,9.2,0.7483314773547883
8950,9.2,0.7483314773547883
9000,9.2,0.7483314773547883
9050,9.2,0.7483314773547883
9100,9.2,0.7483314773547883
9150,9.2,0.7483314773547883
9200,9.2,0.7483314773547883
9250,9.2,0.7483314773547883
9300,9.2,0.7483314773547883
9350,9.2,0.7483314773547883
9400,9.2,0.7483314773547883
9450,9.2,0.7483314773547883
9500,9.2,0.7483314773547883
9550,9.2,0.7483314773547883
9600,9.2,0.7483314773547883
9650,9.2,0.7483314773547883
9700,9.2,0.7483314773547883
9750,9.2,0.7483314773547883
9800,9.2,0.7483314773547883
9850,9.2,0.7483314773547883
9900,9.2,0.7483314773547883
9950,9.2,0.7483314773547883
10000,9.2,0.7483314773547883
10050,9.1,0.5385164807134504
10100,9.1,0.5385164807134504
10150,9.1,0.5385164807134504
